GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.f1rsters.tech_challenge_mecanica.exception,ApiExceptionHandler,0,106,0,0,0,28,0,5,0,5
,com.f1rsters.tech_challenge_mecanica.util,CpfCnpjValidator,3,178,4,27,0,34,4,18,0,6
,com.f1rsters.tech_challenge_mecanica.util,SensitiveDataMasker,0,93,0,18,0,19,0,12,0,3
,com.f1rsters.tech_challenge_mecanica.util,PlacaValidator,0,32,0,8,0,6,0,6,0,2
,com.f1rsters.tech_challenge_mecanica.util,InputNormalizer,0,29,0,6,0,9,0,6,0,3
,com.f1rsters.tech_challenge_mecanica.domain,Role,0,27,0,0,0,5,0,1,0,1
,com.f1rsters.tech_challenge_mecanica.domain,StatusOrdemServico,0,39,0,0,0,7,0,1,0,1
,com.f1rsters.tech_challenge_mecanica.controller,PecaController,0,46,0,0,0,11,0,8,0,8
,com.f1rsters.tech_challenge_mecanica.controller,AuthController,0,50,0,0,0,12,0,2,0,2
,com.f1rsters.tech_challenge_mecanica.controller,ClienteController,0,39,0,0,0,9,0,6,0,6
,com.f1rsters.tech_challenge_mecanica.controller,OrdemServicoController,0,29,0,0,0,7,0,5,0,5
,com.f1rsters.tech_challenge_mecanica.controller,OrdemServicoPublicController,0,14,0,0,0,5,0,2,0,2
,com.f1rsters.tech_challenge_mecanica.controller,ServicoController,0,32,0,0,0,9,0,6,0,6
,com.f1rsters.tech_challenge_mecanica.controller,VeiculoController,0,39,0,0,0,9,0,6,0,6
,com.f1rsters.tech_challenge_mecanica.service,ClienteService,0,63,0,0,0,15,0,6,0,6
,com.f1rsters.tech_challenge_mecanica.service,VeiculoService,0,104,0,0,0,24,0,6,0,6
,com.f1rsters.tech_challenge_mecanica.service,OrdemServicoService,0,244,0,8,0,49,0,15,0,11
,com.f1rsters.tech_challenge_mecanica.service,PecaService,0,107,0,2,0,22,0,9,0,8
,com.f1rsters.tech_challenge_mecanica.service,ServicoService,0,61,0,0,0,15,0,6,0,6
,com.f1rsters.tech_challenge_mecanica.validation,PlacaConstraintValidator,0,13,0,4,0,4,0,4,0,2
,com.f1rsters.tech_challenge_mecanica.validation,CpfCnpjConstraintValidator,0,13,0,4,0,4,0,4,0,2
,com.f1rsters.tech_challenge_mecanica.mapper,VeiculoMapper,0,25,0,2,0,7,0,2,0,1
,com.f1rsters.tech_challenge_mecanica.mapper,ClienteMapper,0,11,0,0,0,4,0,1,0,1
,com.f1rsters.tech_challenge_mecanica.dto,ClienteResponseDTO,0,12,0,0,0,5,0,1,0,1
,com.f1rsters.tech_challenge_mecanica.dto,OrdemServicoPublicDTO,3,27,0,0,2,10,1,1,1,1
,com.f1rsters.tech_challenge_mecanica.dto,LoginResponseDTO,0,15,0,0,0,6,0,1,0,1
,com.f1rsters.tech_challenge_mecanica.dto,VeiculoResponseDTO,0,21,0,0,0,8,0,1,0,1
,com.f1rsters.tech_challenge_mecanica.security,CustomUserDetailsService,2,49,1,1,0,13,1,4,0,4
,com.f1rsters.tech_challenge_mecanica.security,JwtAuthenticationFilter,0,75,3,7,0,22,3,4,0,2
,com.f1rsters.tech_challenge_mecanica.security,AccessDeniedHandlerImpl,0,18,0,0,0,7,0,2,0,2
,com.f1rsters.tech_challenge_mecanica.security,JwtService,1,97,2,2,0,28,2,7,0,7
,com.f1rsters.tech_challenge_mecanica.security,AuthEntryPoint,0,18,0,0,0,7,0,2,0,2
,com.f1rsters.tech_challenge_mecanica.config,SecuritySeedConfig,0,44,0,4,0,12,0,5,0,3
,com.f1rsters.tech_challenge_mecanica.config,SecurityConfig,0,407,0,0,0,36,0,9,0,9
,com.f1rsters.tech_challenge_mecanica,TechChallengeMecanicaApplication,5,3,0,0,2,1,1,1,1,1
